Tan Li Hau,12345,12345,32,1234,0
admin,12345,123455,0,12345,1
graphicUI,password,12345678,10,email@address.com,0
Customer 0,password,123456789,61,email@address,0
Customer 1,password,123456789,53,email@address,0
Customer 2,password,123456789,0,email@address,0
Customer 3,password,123456789,68,email@address,0
Customer 4,password,123456789,68,email@address,0
Customer 5,password,123456789,5,email@address,0
Customer 6,password,123456789,41,email@address,0
Customer 7,password,123456789,48,email@address,0
Customer 8,password,123456789,3,email@address,0
Customer 9,password,123456789,66,email@address,0
Customer 10,password,123456789,19,email@address,0
Customer 11,password,123456789,33,email@address,0
Customer 12,password,123456789,24,email@address,0
Customer 13,password,123456789,5,email@address,0
Customer 14,password,123456789,42,email@address,0
Customer 15,password,123456789,54,email@address,0
Customer 16,password,123456789,69,email@address,0
Customer 17,password,123456789,51,email@address,0
Customer 18,password,123456789,4,email@address,0
Customer 19,password,123456789,44,email@address,0
Customer 20,password,123456789,30,email@address,0
Customer 21,password,123456789,52,email@address,0
Customer 22,password,123456789,54,email@address,0
Customer 23,password,123456789,50,email@address,0
Customer 24,password,123456789,36,email@address,0
Customer 25,password,123456789,3,email@address,0
Customer 26,password,123456789,26,email@address,0
Customer 27,password,123456789,35,email@address,0
Customer 28,password,123456789,8,email@address,0
Customer 29,password,123456789,4,email@address,0
Customer 30,password,123456789,24,email@address,0
Customer 31,password,123456789,20,email@address,0
Customer 32,password,123456789,41,email@address,0
Customer 33,password,123456789,24,email@address,0
Customer 34,password,123456789,27,email@address,0
Customer 35,password,123456789,56,email@address,0
Customer 36,password,123456789,29,email@address,0
Customer 37,password,123456789,6,email@address,0
Customer 38,password,123456789,3,email@address,0
Customer 39,password,123456789,31,email@address,0
Customer 40,password,123456789,37,email@address,0
Customer 41,password,123456789,61,email@address,0
Customer 42,password,123456789,41,email@address,0
Customer 43,password,123456789,28,email@address,0
Customer 44,password,123456789,33,email@address,0
Customer 45,password,123456789,14,email@address,0
Customer 46,password,123456789,32,email@address,0
Customer 47,password,123456789,6,email@address,0
Customer 48,password,123456789,40,email@address,0
Customer 49,password,123456789,44,email@address,0
customer 123,12345,12345,123,123,0
